,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111
0,0.460645653,1.906543516,1.040068117,-0.922359296,0.071120549,-0.007766831,-0.291893254,-0.003944607,-2.909120583,-0.669563481,1.098496894,0.200935975,-1.19104159,0.132281835,-0.837520344,-0.897254808,0.807243189,-0.02878458,-0.35260399,1.515094488,-0.200604683,0.08631556,0.449776211,-0.733357372,-0.121120036,1.085096818,0.541247808,0.517619897,-1.501118776,1.000698222,0.400002495,-0.824049989,0.442206251,0.106014253,0.041692334,0.054558004,2.12065732,1.317135744,-0.257087254,-0.345801151,1.24005173,1.480403606,-0.670063307,0.754565808,1.243593428,0.764408246,1.538569668,1.184753054,0.740868363,0.532062066,-1.234951381,0.470049607,0.336630789,-0.830044592,0.277737342,-0.439266036,-0.113114431,1.27829116,1.93335662,-0.02234915,1.368646821,-0.853910352,0.189850866,-0.986586652,0.810111317,1.887160572,1.828157983,-1.087445203,1.179238806,0.029551048,0.661035374,-0.05342297,-0.979347623,0.437486503,-1.206793597,-1.14983736,0.724062657,0.332517247,-0.582321309,-0.224466816,-0.476104481,0.040587563,0.330390894,0.279508868,-0.040495954,1.274833888,0.411099656,-0.891642981,0.345551884,-0.521711003,1.350173328,-0.861961339,0.700583361,1.498890256,0.121990061,-0.979796856,0.7081861,-0.701456785,0.592630978,-0.996845477,-0.982844475,-0.382070843,1.794360639,-0.727086062,0.059653597,-0.495492112,-1.58569348,1.293969032,-1.338822943,-0.15942134,0.706184735
1,1.251195062,0.203859136,0.770281943,-1.190219831,-1.605130772,0.822661807,-0.019235209,-0.377214117,-0.920735579,0.718187327,1.063812186,-0.029368235,-0.484520638,0.216864034,0.532950423,-0.723774357,1.527379396,-0.525864933,0.09134589,-1.557252188,-0.389848259,0.503153076,-0.412315103,-1.060305344,-0.379189887,-0.148045136,-1.701547925,-1.41424037,0.976327415,0.439971125,-1.018517511,-0.092708926,0.281829916,1.045488136,0.366953203,1.122921876,-0.471126225,-0.254975725,-0.784344393,-0.252192398,-0.045037052,-0.802587206,-0.388973159,-0.713069645,0.182166174,-0.512087403,-2.025296611,-0.015727365,-0.200808356,-1.015475067,0.70528722,-1.442857937,0.564986177,-0.967461439,-2.595570976,-0.208965876,-0.957809283,-1.115576925,-0.677935909,0.203164703,0.990745359,-0.742441349,-0.745298456,-0.759238798,0.304134849,-0.501485859,-0.720058186,0.70080637,-2.066201037,-1.830719243,-0.792832855,-0.139652776,0.805582028,-0.481115616,-0.588016263,1.258069333,-0.383301521,-0.186087126,-0.797931347,-0.105733371,-1.152408407,1.156012965,-0.966766071,-1.018714186,0.499826361,0.320482377,0.26774915,-0.390065927,1.179622994,-0.390074626,-0.298146293,0.404830589,0.325813409,-0.269048274,-1.830152405,0.810881837,1.062903846,0.380413028,0.651982681,-0.190799701,2.158797122,0.060038303,-0.738633914,-1.410745396,-0.877991083,-0.62170966,0.081677768,-1.340119852,0.138411239,-2.963844869,-0.890953751
2,0.300307314,0.213886572,-0.472838801,1.252065494,-0.717881072,0.874832429,1.482474256,0.700733596,0.398269024,-0.548769159,0.495287586,0.426464568,-0.136767184,0.572677203,-1.061479642,-1.356453762,-0.957612025,0.448257638,-0.436940518,-0.40159043,-1.078006963,-1.18195072,-0.62073033,1.067193591,-0.304057832,0.508891013,-0.827849831,-0.381490708,-2.274172405,-0.067177957,0.72215414,0.830499664,1.394771122,1.989924251,0.995501677,0.70708988,0.775572684,-0.604698011,-0.157319689,-0.552336823,1.017155699,0.078446734,-0.902638242,0.059039265,-1.6950336,0.036322853,-0.178865153,-0.5048463,1.537035645,0.427747878,-1.161536099,1.559658088,-0.863808092,-1.028633785,-0.223826927,-1.081312139,-0.582008709,-0.519571154,-0.127291739,1.336264673,0.110129499,0.100746735,0.733240875,0.920748688,-0.800102801,1.058039056,-0.436079975,-1.173215529,0.635039511,0.939273846,0.187548336,0.425389558,-1.556414176,-0.703534264,0.621518608,-0.839633202,-1.199286247,1.889508462,-1.084629476,0.521411455,-0.508607487,0.739833394,0.574703598,-1.048922179,0.10634111,-1.053204383,0.53112379,-1.039210718,1.545389986,-0.169562418,-1.326827805,1.258448633,0.082579312,-1.512931954,-0.518660635,-1.006978108,-2.013314866,1.335686289,0.732702512,-0.617847902,0.543132257,2.2329487,-0.738762642,0.169370169,-1.004389332,0.213401216,-0.888204425,1.134406073,-0.881908653,-1.553985713,0.052066428
3,-1.065635417,-0.174338772,0.348619193,-0.637983754,-1.848482478,0.638475603,-1.836633643,1.299130453,-0.938532931,1.128763505,-1.338906176,-3.179051155,0.212858294,1.501703237,0.353700631,1.333223575,-0.056479658,0.952536389,2.26268031,1.587051754,0.319178716,0.984446321,-0.404295262,1.77884613,-0.062502177,-1.263875741,0.5879477,0.594004003,-0.535404302,-0.60120346,0.55617839,-0.612042145,1.504851007,2.503142424,0.371121633,-0.814897921,0.90955726,1.744052517,-0.733051921,0.923439784,1.869987667,-0.636963512,-0.184103828,0.716047952,0.67164934,-1.183869596,-0.146828596,1.577705278,2.055409762,-1.029544811,-0.230826138,0.150513576,0.037739723,0.23562333,-1.181315687,-0.598722149,-0.063914877,0.448108605,0.871768232,-0.177105823,-1.771686952,-1.959438054,0.460819536,1.503057929,0.529846454,0.207771597,-0.533770383,-0.516648713,0.631761063,0.351252491,-0.130343622,0.289436485,-0.440235225,-0.503619101,-0.475774064,-1.144184901,-0.778088437,-0.052611499,1.215135287,-0.908199633,-0.501488257,1.10275516,-0.117208379,-1.153396762,-0.581607432,0.479708854,-0.027923364,0.304727992,-1.467716389,0.264627547,-0.249051189,-1.054407308,-1.038321718,0.868104756,-0.022802107,-0.723080266,-1.010119345,-0.511133204,-0.349575622,-0.003391758,-0.614846035,1.767569106,-0.739274473,-0.188956634,1.698721046,1.172759374,1.065597062,1.036753102,0.922578283,0.203693122,-1.88596406
4,0.696556245,0.399043472,-1.005041631,1.144321465,-1.196666924,0.408143691,-0.307988943,-0.145854528,-0.96102885,-0.617563618,-2.360236057,0.258618576,-0.828702228,-0.677305522,0.118160709,2.471948299,-0.250015417,0.324928999,-0.183591767,1.199338171,-0.531692988,0.673509778,1.703530777,0.970330463,0.072785505,0.665424634,-0.270988022,-0.634067846,1.691125604,-0.502849822,0.989633899,-1.056631408,-0.058630176,0.658736798,0.062092649,0.000941881,0.558648545,-1.516677743,0.818990313,0.526380399,-0.898934443,-0.205539446,0.905818199,0.688716358,0.288268869,1.060534533,1.059539904,-1.973930258,0.796069626,1.123978597,1.070363296,-0.531389986,-1.737646784,-0.562939932,1.691377232,0.211140157,-0.023412931,0.196291157,-0.704067772,-0.620245515,0.194087532,1.549258419,-0.159414683,0.196988248,-0.786041847,1.163311362,-0.585363501,-0.816129139,1.160385263,-0.433749978,-1.289027398,-0.715129475,1.199134332,-0.905827872,-0.817691846,-0.134888503,-1.781763072,0.557254374,0.146176052,-2.373583165,-2.541515953,0.724570887,2.231714739,-0.139861766,1.023693275,0.301802032,0.653707488,-1.875190643,0.588702881,0.865029757,-1.062023021,-0.689454465,2.534328234,-0.068960498,-1.207760479,0.512378037,-0.558083695,-0.352228161,-0.461285307,0.492847294,-0.224306594,-2.407960602,1.264227441,-0.294661799,-0.823412048,-0.682165184,-0.266933464,0.529511314,-0.378924667,-1.578564571,0.443316378
5,-1.997164836,0.701178495,1.232938783,0.956129575,0.193805625,0.082372723,-0.353133936,1.605797271,1.143304713,-0.636040598,0.351818332,-0.85844406,0.814552126,0.740041989,0.700811154,1.470452831,-0.002364832,1.717629545,-2.10426887,-1.019409409,-0.448695609,0.1752697,1.012156903,-0.52479628,-0.341050092,-1.465118761,0.999223722,-0.598679077,-1.321031941,-1.290528285,0.056615499,0.732629372,-0.357764992,-0.581948113,-1.28809215,0.869526274,-0.330656836,-0.619616001,1.400948932,-0.28025765,-1.657914769,1.845761006,-1.157168321,-0.276766811,-0.124247829,0.15127223,0.395248718,0.138202067,1.336991486,-0.476008834,-0.608042047,-1.488452988,0.091022963,0.104936014,0.576236126,-0.057235194,-0.907428559,0.260260829,-0.255816471,-1.469530932,-0.656635175,-0.672301497,-0.078838796,0.436068338,-0.64570807,-1.326637248,0.845597559,0.105779555,0.544511417,0.840179864,0.615043635,1.456084529,-1.100273891,-0.307562344,0.178629134,-1.268307854,-0.171186315,-0.049701463,0.664623424,-0.399719365,-0.564733575,0.080088337,-0.429366821,-0.69922304,0.686593977,0.971158714,0.547572405,-0.954785359,0.56418911,0.058948514,-0.037866019,-0.249724695,-1.084803388,-0.07305936,0.125868613,-0.479074798,-0.252403467,-0.748029611,0.659482242,0.792721329,-0.848877045,2.176140812,1.952982205,-0.260976889,0.543155008,-0.44398696,-0.395184406,0.064863141,0.040664723,-2.326342857,-0.177257557
6,-1.49205773,-2.500174633,-0.773794821,-1.638295833,-1.695762358,1.780579939,-0.218402541,2.508823093,1.308705918,-0.08663595,-0.580515071,1.078998202,-0.673436358,-0.582175375,0.798978958,-0.579016042,1.193285472,0.160837155,-1.484946657,-1.661725347,-2.000409865,-0.144522168,0.316386708,0.640440856,0.31726297,-0.249780373,-0.655290666,-0.655581272,0.301992699,1.002971287,0.082733182,-0.935455847,0.35033031,0.4321954,0.106818762,1.746060321,0.491799583,-0.138552672,-0.239856519,0.091366766,-0.076341373,-0.494434639,0.197497961,-1.585885701,0.569727194,-0.278231828,-0.227487808,-1.891128953,-0.051146908,-1.411678959,-0.585327881,0.984914616,-0.524977129,-0.063807738,1.480168775,-1.966215539,-1.653380083,1.545352056,1.324216269,-0.118051079,0.846004677,-0.45426478,1.225757636,0.124585602,-0.703409768,-0.486446329,-0.443873477,1.184394372,0.452054284,0.42497965,-0.998581301,0.662812403,-1.990019119,-0.037028661,-0.849363704,0.704473411,1.58713975,-0.213900144,0.001666145,0.899506312,-0.102810012,0.483439234,-2.057957521,-0.399920392,0.162960012,-0.786257517,-0.1222422,0.935219001,0.442248599,0.403007447,-0.700812254,-0.114502714,-0.688273946,-1.536410842,-0.998797999,-1.122281705,-0.656560019,-0.975727478,-0.154826485,-0.693252375,-0.197567184,0.881484509,0.547307509,-0.182202392,-0.576747587,-1.19598346,-1.778259102,0.254169493,1.861076844,0.78536309,0.275889095
7,0.17249306,-0.313878222,-1.312443989,0.604023963,0.631789141,1.551039869,-0.524164732,-0.817771402,0.238511494,-0.520704807,0.391715347,-2.098780973,0.153714983,-0.675726162,0.126091215,0.103792261,1.316323021,0.213676848,0.516268413,-0.009713698,-1.211613125,0.23267558,-0.883422979,-0.21863773,-0.054282682,0.92229603,-0.124620462,-0.036781544,0.455621107,0.074141157,-0.901430419,-2.245903491,-0.40817936,-0.293628719,-0.108533557,0.244967304,0.083297029,-1.379409172,0.006978251,1.42013744,-0.216354859,-0.170496987,0.361282608,1.028891671,0.127195763,-1.278247599,0.693005291,0.708603968,-0.278836405,-0.403267684,2.240840348,-0.41513084,0.236402484,0.230586466,-0.214322247,0.411668202,-0.2158532,0.441019412,1.881663475,0.962551686,1.412847641,-1.786969228,0.316238246,0.048604238,-1.45292436,1.443231846,0.018432343,-1.661858139,-0.548871088,0.001119679,0.854669888,0.805670366,0.676337554,-0.08605931,0.363797747,-1.046020905,-0.76219322,-0.405821174,-0.063532449,0.303167025,0.173252757,-0.112285651,2.378102913,-0.187282892,0.914367649,-0.36804865,1.233786519,0.589150087,0.829368737,1.567801247,-0.351229288,-0.608071702,1.118240225,-0.973574123,1.569643354,0.68759904,-0.561215617,-0.881410916,-0.839324,-0.526811157,2.119031004,0.442590569,1.64057692,-0.081302197,1.605239549,-1.211927035,-0.531734136,-0.86218341,-0.113271414,-0.177420768,0.22816246
8,1.098945052,-1.415401746,-1.081199683,-0.986875562,0.704613278,-0.101899661,-0.91280528,0.742686965,-0.750716379,0.836899011,0.68366473,-0.786448097,-1.027108073,-0.343370336,-1.550266081,0.101785875,0.230660644,0.835864919,0.114067622,-0.560572365,0.801999133,1.320557376,0.352486446,-1.091894462,1.132469191,0.277544053,0.343174721,1.224013625,-0.525800637,0.057486513,-1.110926997,-1.330658024,-1.439802284,-0.930372666,1.081543621,0.262429974,-1.820558732,1.157066836,-0.775318348,-1.152145887,-0.232538682,-1.036384688,-0.183844598,0.278451525,1.281213377,0.236989841,1.348223166,-0.016386242,1.037610262,0.341558886,-0.825069981,0.158040182,0.716809364,-1.411638724,1.495778008,-1.238747328,-0.323219967,0.922847836,-0.932579202,1.000590264,2.328143946,0.160795592,1.196847751,-0.824869634,2.249559876,-0.647745473,1.211002745,-0.743322003,0.884282937,-0.291229479,0.804875379,1.329013315,-0.179840321,3.251310524,1.159245911,0.926325729,0.075251,-0.222141989,-0.270500743,-1.829825121,0.746300555,0.846126466,-0.77641932,0.629075514,-0.058733973,0.853431126,1.796479102,-1.251944979,-0.540050238,-0.897690519,0.602435113,-1.190862643,-0.71351233,-1.080827726,-0.202126359,2.103569344,-0.031047932,0.59492215,-0.932216852,0.360116109,0.834936097,-0.097820743,1.527582875,0.27015121,1.316058066,2.909608229,0.34855415,-0.713057542,-1.55466423,-0.114253691,-0.354475661
9,-0.582964894,1.890914002,0.53976512,1.356932373,1.190834745,-1.082676593,0.60617584,-0.708245285,-2.944464985,0.99834676,0.593245273,-2.183984299,0.573918222,0.11419453,-0.710080298,0.825300466,0.877719566,-0.727263016,0.759414107,-0.13656417,-1.513304864,-0.43496453,1.716524747,0.593280983,-0.489225769,0.419707121,0.416908376,-0.730220791,1.039262672,0.401538147,-0.576375879,1.585170768,1.428461804,1.381553466,-0.776976319,-1.108746689,0.277354336,0.393401725,0.607167996,1.428819585,0.195786313,-0.615356915,0.458016133,0.037179752,0.955930791,-0.800328981,0.870990908,-0.683305671,-0.955253527,-1.242065273,1.909519699,0.438137302,-0.685897467,0.701926851,0.937944705,-0.158203951,0.820389732,0.09458891,-1.479751406,-0.381783663,-1.176708458,-0.073805601,-0.248958143,0.420259115,-0.556873609,1.282629482,0.583373808,1.550526556,-0.539345318,1.588057522,0.451775109,-0.467864356,1.09292784,-0.200196525,0.883300323,-0.082180873,-1.079081841,1.120866955,-0.527819052,0.815205069,0.542593695,-0.345976735,1.726328332,-0.479239151,0.674392179,-1.519378817,-0.811428938,0.322336031,0.666256452,-0.186033424,0.030291458,1.232176892,0.517700856,-0.761878133,-0.311454245,1.46077193,-0.553516274,0.033426982,-0.191912914,0.128727481,0.282235194,-1.351275804,0.291153024,0.295273019,0.209157358,-0.266195661,-0.634050581,0.318649536,0.873327793,0.165553227,-0.889417693
